,nor_actual,1,2,3,4,5,6,nor_predictions,difference,difference_percentage,Actual,Prediction
0,0.1788367922111197,0.47537878787878785,0.0026123301985370717,0.20860182826315005,0.056218618816363475,0.47348757005316844,0.3044561320772253,0.2704513,0.09161451508563323,51.22800177352814,118.15,139.60428
1,0.15090955675121703,0.4602272727272727,0.0026123301985370717,0.20860182826315005,0.056218618816363475,0.6002299180916799,0.29164227921447117,0.2603055,0.10939593731883607,72.49105999243075,111.61,137.22833
2,0.6825945853616876,0.45075757575757575,0.0026123301985370717,0.20860182826315005,0.056218618816363475,0.6325621497341571,0.28363362311484636,0.5718488,0.1107457756426019,16.224238811375987,236.12,210.18555
3,0.690238278247502,0.4431818181818182,0.0026123301985370717,0.20860182826315005,0.056218618816363475,0.6230780284523638,0.2772266982351465,0.57612413,0.11411414656796703,16.53257290478008,237.91000000000003,211.18674
4,0.7048851310957384,0.4337121212121212,0.0026123301985370717,0.20860182826315005,0.056218618816363475,0.5986492312113809,0.2692180421355217,0.5840537,0.12083143589386458,17.14200379089187,241.34000000000003,213.0437
5,0.6939533692031771,0.42424242424242425,0.0026123301985370717,0.20860182826315005,0.056218618816363475,0.5802557838769937,0.26120938603589683,0.5770187,0.1169346910148531,16.85051131737019,238.78000000000003,211.39624
6,0.7040737893927748,0.41666666666666663,0.0026123301985370717,0.20860182826315005,0.056218618816363475,0.5206207788475354,0.254802461156197,0.5811191,0.12295466927177257,17.46332147626377,241.14999999999998,212.35648
7,0.16846015885216498,0.40909090909090906,0.0026123301985370717,0.20860182826315005,0.056218618816363475,0.47363126886046847,0.2483955331731427,0.267611,0.09915083810942865,58.85714389978709,115.72,138.93913
8,0.1615424032795285,0.3958333333333333,0.0026123301985370717,0.20860182826315005,0.056218618816363475,0.4479091823537865,0.23718341463366793,0.2643648,0.10282240551830779,63.65041217096835,114.1,138.17896
9,0.6940814757878556,0.4015151515151515,0.0026123301985370717,0.20860182826315005,0.056218618816363475,0.43397039804569615,0.24198860829344282,0.5721836,0.12189786677906655,17.562472279021655,238.81,210.26395
10,0.6937825604236058,0.45075757575757575,0.0026123301985370717,0.20860182826315005,0.056218618816363475,0.43325190400919666,0.28363362311484636,0.5725399,0.1212426348483494,17.475595635370507,238.74,210.34738
11,0.6949355196857118,0.49810606060606055,0.0026123301985370717,0.20860182826315005,0.056218618816363475,0.45092685730708426,0.32367690671632493,0.5741634,0.1207721424007081,17.378899045961553,239.01,210.72757
12,0.7105645230164831,0.5416666666666666,0.0026123301985370717,0.20860182826315005,0.056218618816363475,0.4487713751975857,0.3605167278779536,0.58357227,0.12699225453046015,17.872022936263914,242.67000000000002,212.93094
13,0.6716201212742335,0.5852272727272727,0.0026123301985370717,0.20860182826315005,0.056218618816363475,0.3121138094553816,0.39735654593622777,0.55588573,0.11573438910031386,17.232120574460517,233.55,206.44733
14,0.18413186437782902,0.6117424242424243,0.0026123301985370717,0.20860182826315005,0.056218618816363475,0.2164104037936485,0.4197807861185317,0.26377207,0.07964020603003841,43.25172413755657,119.39,138.04013
15,0.17994704927833294,0.6382575757575757,0.0026123301985370717,0.20860182826315005,0.056218618816363475,0.16094266417588732,0.44220502319748123,0.25989044,0.07994338784782673,44.426062093507504,118.41,137.13113
16,0.6692287983602357,0.6553030303030303,0.0026123301985370717,0.20860182826315005,0.056218618816363475,0.12257508262681416,0.4566206072801603,0.54769176,0.12153703591287857,18.160759998773546,232.99,204.52844
17,0.48543855154154925,0.6571969696969697,0.0026123301985370717,0.20860182826315005,0.056218618816363475,0.08851846529673801,0.4582223385000853,0.42975694,0.055681612130385916,11.470372914051524,189.95,176.91048
18,0.521052182082159,0.6420454545454546,0.0026123301985370717,0.20860182826315005,0.056218618816363475,0.08765627245293861,0.44540848563733115,0.45255965,0.06849253213785356,13.145042760238116,198.29,182.25041
19,0.5230591852421215,0.6268939393939394,0.0026123301985370717,0.20860182826315005,0.056218618816363475,0.1034631412559276,0.43259463587793145,0.45452183,0.06853735039181019,13.103173087398245,198.76,182.70992
20,0.5713126654710052,0.6022727272727273,0.0026123301985370717,0.20860182826315005,0.056218618816363475,0.12200028739761459,0.4117721300189069,0.48608202,0.08523064804928282,14.91838938648707,210.06,190.10068
21,0.35771628661713206,0.5776515151515151,0.0026123301985370717,0.20860182826315005,0.056218618816363475,0.1322029027159074,0.39094962105652786,0.35391736,0.0037989263113459293,1.061994226562003,160.03999999999996,159.15036
22,0.1286617132120591,0.5511363636363636,0.0026123301985370717,0.20860182826315005,0.056218618816363475,0.2146860181060497,0.3685253839775784,0.24120921,0.11254749575324241,87.47551462162066,106.4,132.75636
23,0.39657528396959596,0.5378787878787878,0.0026123301985370717,0.20860182826315005,0.056218618816363475,0.3351056186233654,0.3573132654381036,0.38394356,0.012631726230338147,3.185202593539989,169.14,166.18188
24,0.4504654539243317,0.5208333333333334,0.0026123301985370717,0.20860182826315005,0.056218618816363475,0.441299037217991,0.34289768135542453,0.42061144,0.02985401278892519,6.627370096606788,181.76,174.76878
25,0.4290289520881374,0.5132575757575757,0.02364158829676072,0.20860182826315005,0.056218618816363475,0.5598505532404081,0.33649075647572463,0.41031834,0.01871060725667073,4.361152590193243,176.74,172.35834
26,0.42796139721581694,0.5113636363636364,0.02364158829676072,0.20860182826315005,0.056218618816363475,0.6005173157062795,0.33488902525579967,0.41063118,0.01733021740624663,4.049481452998239,176.49,172.43161
