일자별 수요예측 리스트 (단위 : MW),,,,,,,,,,,,,,,,,,,,,,,,
구분,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h
20210101,"62,620","60,260","58,390","57,400","57,200","57,590","57,880","57,280","56,570","55,090","54,720","53,450","52,760","52,860","53,250","55,240","57,700","60,520","61,670","61,470","60,990","60,520","60,940","61,540"
20210102,"61,460","59,120","57,560","56,680","56,780","57,170","57,640","57,320","57,490","56,080","55,830","54,950","54,050","53,930","54,440","56,130","58,400","60,730","62,200","61,910","61,340","60,890","61,410","62,540"
20210103,"57,050","53,810","51,860","51,070","51,280","52,160","53,130","53,420","53,480","51,970","52,320","52,040","51,440","52,220","53,420","54,920","57,090","60,110","61,390","60,400","58,930","57,270","57,800","58,330"
20210104,"55,550","53,380","52,200","51,910","52,610","54,590","58,350","64,990","74,640","76,880","75,110","71,950","67,190","69,280","70,580","72,240","74,980","74,490","72,260","69,570","67,300","64,440","63,270","65,180"
20210105,"63,050","60,800","59,520","59,030","59,530","60,910","63,980","68,930","76,670","78,510","76,110","73,410","70,260","74,330","75,430","76,000","77,540","75,760","73,140","70,850","68,880","66,320","65,350","67,450"
20210106,"62,920","60,370","58,990","58,400","59,000","60,580","63,850","69,400","78,040","80,180","77,380","74,380","70,830","75,500","76,700","77,370","79,010","77,030","74,110","71,620","69,350","66,490","65,520","67,820"
20210107,"67,880","65,320","64,140","63,050","63,440","65,030","68,000","73,560","82,880","84,860","83,300","81,090","76,920","79,100","79,910","81,400","83,350","82,150","80,140","77,460","74,290","70,440","69,460","71,160"
20210108,"67,850","66,790","65,220","63,830","64,520","65,910","69,870","74,420","82,350","84,040","83,660","82,180","79,110","81,820","83,330","83,400","85,330","82,950","79,030","76,160","72,800","69,350","69,580","70,780"
20210109,"69,250","66,570","64,690","63,900","64,100","65,180","66,760","68,640","71,020","68,660","67,590","65,420","62,240","63,330","64,720","67,300","70,520","71,920","72,080","70,690","69,110","66,940","66,850","68,460"
20210110,"63,070","59,530","57,360","56,480","56,780","57,670","58,740","59,030","59,100","57,390","57,850","57,560","56,770","57,650","59,050","60,740","63,220","66,560","67,930","66,840","65,270","63,310","63,930","64,560"
20210111,"59,190","56,820","55,540","55,250","55,840","57,910","62,170","69,810","80,370","82,850","81,390","78,600","74,240","77,330","79,020","79,690","82,020","80,710","77,390","74,120","71,150","67,900","66,830","69,040"
20210112,"67,990","65,620","64,630","64,230","63,230","65,820","67,990","72,150","80,890","83,870","84,150","83,470","79,700","82,110","83,310","82,600","83,570","81,050","78,640","74,760","72,790","69,330","69,150","70,340"
