Date,Price,Open,High,Low,Vol.,Change %
2023-07-27,134,134,134,134,,0.00%
2023-07-26,134,134,134,134,0.01K,0.00%
2023-07-25,134,134,134,134,,0.68%
2023-07-24,133.1,133.1,133.1,133.1,,0.08%
2023-07-21,133,133,133,133,,0.76%
2023-07-20,132,132,132,132,,0.00%
2023-07-19,132,131,131,131,0.02K,-1.75%
2023-07-18,134.35,134.35,134.35,134.35,0.01K,2.48%
2023-07-17,131.1,131.1,131.1,131.1,0.01K,-0.42%
2023-07-14,131.65,131.65,131.65,131.65,0.03K,2.85%
2023-07-13,128,128,128,128,0.02K,-0.81%
2023-07-12,129.05,129.05,129.05,129.05,,-1.49%
2023-07-11,131,131,131,131,0.01K,-2.02%
2023-07-10,133.7,133.7,133.7,133.7,,-3.12%
2023-07-07,138,138,138,138,,-1.18%
2023-07-06,139.65,140,140,140,,-3.56%
2023-07-05,144.8,144.8,144.8,144.8,0.03K,1.15%
2023-07-04,143.15,142.5,142.5,142.5,0.15K,-3.31%
2023-07-03,148.05,145,145,145,0.02K,15.62%
2023-06-30,128.05,128.05,128.05,128.05,,0.12%
2023-06-29,127.9,127.9,127.9,127.9,,0.00%
2023-06-28,127.9,127.9,127.9,127.9,,0.00%
2023-06-27,127.9,127.9,127.9,127.9,,1.91%
2023-06-26,125.5,125.5,125.5,125.5,,0.00%
2023-06-23,125.5,125.5,125.5,125.5,,-0.20%
2023-06-22,125.75,125.75,125.75,125.75,,1.29%
2023-06-21,124.15,124.15,124.15,124.15,0.01K,-1.90%
2023-06-20,126.55,126.55,126.55,126.55,0.02K,-1.40%
2023-06-19,128.35,128.35,128.35,128.35,,-0.08%
2023-06-16,128.45,128.45,128.45,128.45,0.03K,-5.52%
2023-06-15,135.95,135.95,135.95,135.95,,2.99%
2023-06-14,132,132,132,132,,-0.19%
2023-06-13,132.25,132.25,132.25,132.25,0.05K,-1.31%
2023-06-12,134,134,134,134,,-1.25%
2023-06-09,135.7,135.7,135.7,135.7,0.01K,-0.40%
2023-06-08,136.25,136.25,136.25,136.25,,0.18%
2023-06-07,136,136,136,136,,1.15%
2023-06-06,134.45,134.45,134.45,134.45,0.04K,-2.40%
2023-06-05,137.75,137.75,137.75,137.75,,5.15%
2023-06-02,131,131,131,131,0.02K,0.65%
2023-06-01,130.15,130.15,130.15,130.15,0.01K,-3.59%
2023-05-31,135,138,138,138,0.01K,-0.07%
2023-05-30,135.1,135.1,135.1,135.1,,-3.95%
2023-05-29,140.65,140.65,140.65,140.65,,-12.09%
2023-05-26,160,160,160,160,,0.00%
2023-05-25,160,160,160,160,,-0.16%
2023-05-24,160.25,160.25,160.25,160.25,0.00K,0.16%
2023-05-23,160,160,160,160,,-0.22%
2023-05-22,160.35,160.35,160.35,160.35,,-1.17%
2023-05-19,162.25,162.25,162.25,162.25,,1.82%
2023-05-18,159.35,159.35,159.35,159.35,0.03K,-3.57%
2023-05-17,165.25,165.25,165.25,165.25,0.01K,0.89%
2023-05-16,163.8,163.8,163.8,163.8,0.01K,0.03%
2023-05-15,163.75,163.75,163.75,163.75,0.02K,-0.70%
2023-05-12,164.9,166.5,166.5,166.5,0.09K,1.17%
2023-05-11,163,163,163,163,0.01K,-2.37%
2023-05-10,166.95,166.95,166.95,166.95,0.01K,-1.21%
2023-05-09,169,169,169,169,,-0.38%
2023-05-08,169.65,169.65,169.65,169.65,,0.00%
2023-05-05,169.65,169.65,169.65,169.65,0.01K,-0.59%
2023-05-04,170.65,178.2,178.2,178.2,0.06K,-5.51%
2023-05-03,180.6,180.6,180.6,180.6,0.01K,-3.71%
2023-05-02,187.55,187.55,187.55,187.55,,1.30%
2023-05-01,185.15,185.15,185.15,185.15,,-2.40%
2023-04-28,189.7,189.7,189.7,189.7,,-0.13%
2023-04-27,189.95,189.95,189.95,189.95,,-0.11%
2023-04-26,190.15,190.15,190.15,190.15,,0.58%
2023-04-25,189.05,189.05,189.05,189.05,,-0.50%
2023-04-24,190,190,190,190,,-0.18%
2023-04-21,190.35,190.35,190.35,190.35,,-0.73%
2023-04-20,191.75,191.75,191.75,191.75,0.00K,-0.39%
2023-04-19,192.5,192.5,192.5,192.5,0.00K,2.23%
2023-04-18,188.3,188.3,188.3,188.3,,0.70%
2023-04-17,187,187,187,187,0.00K,-0.53%
2023-04-14,188,188,188,188,0.02K,-1.44%
2023-04-13,190.75,190.75,190.75,190.75,,-1.98%
2023-04-12,194.6,194.6,194.6,194.6,0.01K,0.23%
2023-04-11,194.15,194.15,194.15,194.15,0.01K,0.21%
2023-04-10,193.75,193.75,193.75,193.75,,0.00%
2023-04-06,193.75,193.75,193.75,193.75,,-2.15%
2023-04-05,198,198,198,198,0.03K,2.78%
2023-04-04,192.65,192.65,192.65,192.65,0.02K,-3.68%
2023-04-03,200,197,198,197,0.01K,12.83%
2023-03-31,177.25,177.25,177.25,177.25,,0.28%
2023-03-30,176.75,176.75,176.75,176.75,,0.08%
2023-03-29,176.6,176.6,176.6,176.6,,0.06%
2023-03-28,176.5,176.5,176.5,176.5,,0.14%
2023-03-27,176.25,176.25,176.25,176.25,,0.51%
2023-03-24,175.35,175.35,175.35,175.35,,-0.74%
2023-03-23,176.65,176.65,176.65,176.65,,0.06%
2023-03-22,176.55,176.55,176.55,176.55,,1.47%
2023-03-21,174,174,174,174,,1.02%
2023-03-20,172.25,173,173,173,0.01K,-0.43%
2023-03-17,173,173,173,173,0.00K,-0.57%
2023-03-16,174,174,174,174,0.01K,-0.57%
2023-03-15,175,175,178.5,175,0.01K,-2.78%
2023-03-14,180,180,180,180,0.01K,-1.59%
2023-03-13,182.9,182.9,182.9,182.9,0.01K,-1.27%
2023-03-10,185.25,185.25,185.25,185.25,,2.92%
2023-03-09,180,180,180,180,,0.28%
2023-03-08,179.5,182,182,182,0.00K,0.14%
2023-03-07,179.25,181,181,180,0.00K,-1.38%
2023-03-06,181.75,182,182,182,0.00K,-3.79%
2023-03-03,188.9,187.15,187.15,187.15,0.00K,-2.12%
2023-03-02,193,193,193,193,0.04K,-0.26%
2023-03-01,193.5,192,192,192,0.08K,0.34%
2023-02-28,192.85,192.85,192.85,192.85,0.07K,-1.86%
2023-02-27,196.5,195,197,195,0.07K,-6.07%
2023-02-24,209.2,204.5,204.5,204.5,,-0.43%
2023-02-23,210.1,210.1,210.1,210.1,,0.21%
2023-02-22,209.65,209.65,209.65,209.65,0.00K,0.55%
2023-02-21,208.5,209,209,209,0.03K,1.39%
2023-02-20,205.65,205.65,205.65,205.65,,-1.77%
2023-02-17,209.35,209.35,209.35,209.35,,-2.17%
2023-02-16,214,214,214,214,0.03K,-2.68%
2023-02-15,219.9,219.9,219.9,219.9,0.01K,0.18%
2023-02-14,219.5,219.5,219.5,219.5,0.01K,-0.68%
2023-02-13,221,221,221,221,,-2.26%
2023-02-10,226.1,219,219,218,0.03K,0.27%
2023-02-09,225.5,238,238,225,0.03K,-5.79%
2023-02-08,239.35,239.35,239.35,239.35,,-6.38%
2023-02-07,255.65,257,265,254,0.04K,1.45%
2023-02-06,252,235,235,235,0.01K,6.78%
2023-02-03,236,236,236,236,0.01K,-3.54%
2023-02-02,244.65,245,245,245,0.01K,-0.95%
2023-02-01,247,247,247,247,0.03K,-1.89%
2023-01-31,251.75,262,262,262,0.03K,-5.13%
2023-01-30,265.35,266,266,262,0.01K,-25.90%
2023-01-27,358.1,265,265,265,,0.70%
2023-01-26,355.6,355.6,355.6,355.6,,0.45%
2023-01-25,354,354,354,354,0.01K,-1.56%
2023-01-24,359.6,359.6,359.6,359.6,0.02K,-0.11%
2023-01-23,360,360,360,360,0.00K,2.58%
2023-01-20,350.95,350.95,350.95,350.95,,-3.45%
2023-01-19,363.5,363.5,363.5,363.5,0.00K,-1.22%
2023-01-18,368,368,368,368,,-0.34%
2023-01-17,369.25,369.25,369.25,369.25,0.00K,0.14%
2023-01-16,368.75,370,370,370,0.06K,-0.41%
2023-01-13,370.25,370.25,370.25,370.25,0.03K,-1.92%
2023-01-12,377.5,377,377,377,0.16K,2.03%
2023-01-11,370,385,385,380,0.12K,-5.24%
2023-01-10,390.45,395,395,393,0.05K,-0.86%
2023-01-09,393.85,397,397,395,0.13K,-0.58%
2023-01-06,396.15,400,400,400,0.03K,-0.34%
2023-01-05,397.5,395,399,395,0.09K,0.75%
2023-01-04,394.55,390,395,390,0.03K,0.37%
2023-01-03,393.1,396,396,392,0.14K,-2.73%
2022-12-30,404.15,390,390,390,,0.00%
2022-12-29,404.15,404.15,404.15,404.15,,0.51%
2022-12-28,402.1,402.5,402.5,402.5,0.00K,0.40%
2022-12-27,400.5,400.5,400.5,400.5,,-0.15%
2022-12-23,401.1,401.1,401.1,401.1,,0.11%
2022-12-22,400.65,400.65,400.65,400.65,,-0.19%
2022-12-21,401.4,401.4,401.4,401.4,0.01K,0.34%
2022-12-20,400.05,400.05,400.05,400.05,,-0.32%
2022-12-19,401.35,401.35,401.35,401.35,,-0.41%
2022-12-16,403,405,405,405,0.10K,0.27%
2022-12-15,401.9,403,403,403,0.01K,-0.52%
2022-12-14,404,404,404,404,0.04K,-0.12%
2022-12-13,404.5,405,405,405,0.02K,1.06%
2022-12-12,400.25,401,401,401,0.00K,-0.56%
2022-12-09,402.5,405,405,400,0.03K,1.77%
2022-12-08,395.5,395.5,395.5,395.5,0.01K,-2.50%
2022-12-07,405.65,405,405,405,0.01K,-0.77%
2022-12-06,408.8,408.8,408.8,408.8,0.01K,2.07%
2022-12-05,400.5,405,405,400,0.01K,2.43%
2022-12-02,391,391,391,391,,1.56%
2022-12-01,385,385,385,385,0.01K,-3.39%
2022-11-30,398.5,397,397,397,0.06K,2.87%
2022-11-29,387.4,390,390,390,0.03K,2.22%
2022-11-28,379,380,380,380,0.01K,8.47%
2022-11-25,349.4,362,362,362,,0.59%
2022-11-24,347.35,347.75,347.75,347.75,0.01K,0.26%
2022-11-23,346.45,346.45,346.45,346.45,,-0.20%
2022-11-22,347.15,347.15,347.15,347.15,,-1.10%
2022-11-21,351,351,351,351,,2.20%
2022-11-18,343.45,343.45,343.45,343.45,0.01K,2.64%
2022-11-17,334.6,334.6,334.6,334.6,0.02K,0.62%
2022-11-16,332.55,332.55,332.55,332.55,0.02K,-2.48%
2022-11-15,341,341,341,341,0.01K,3.22%
2022-11-14,330.35,330.35,330.35,330.35,,1.09%
2022-11-11,326.8,326.8,326.8,326.8,0.01K,0.79%
2022-11-10,324.25,325,325,325,0.03K,-0.15%
2022-11-09,324.75,329,330,329,0.05K,-4.20%
2022-11-08,339,340,340,338.5,0.04K,-1.71%
2022-11-07,344.9,347,347,345,0.11K,-1.32%
2022-11-04,349.5,349.5,349.5,349.5,0.02K,-0.43%
2022-11-03,351,354,354,354,0.06K,-2.77%
2022-11-02,361,361,361,361,,0.56%
2022-11-01,359,359,359,359,0.07K,0.76%
2022-10-31,356.3,362.5,362.5,355.5,0.01K,-7.62%
2022-10-28,385.7,385.7,385.7,385.7,,0.03%
2022-10-27,385.6,385.6,385.6,385.6,,-0.23%
2022-10-26,386.5,386.5,386.5,386.5,0.03K,-0.43%
2022-10-25,388.15,388.15,388.15,388.15,0.06K,-0.47%
2022-10-24,390,390,390,390,,0.00%
2022-10-21,390,390,390,390,,-0.50%
2022-10-20,391.95,391.95,391.95,391.95,0.01K,0.24%
2022-10-19,391,391,391,391,0.01K,0.81%
2022-10-18,387.85,387.85,387.85,387.85,0.01K,-1.10%
2022-10-17,392.15,392.15,392.15,392.15,,-0.09%
2022-10-14,392.5,392.5,392.5,392.5,0.01K,-0.25%
2022-10-13,393.5,397,397,397,0.02K,-2.36%
2022-10-12,403,405,405,405,0.04K,3.03%
2022-10-11,391.15,391.15,391.15,391.15,0.04K,1.20%
2022-10-10,386.5,386.5,386.5,386.5,0.01K,0.18%
2022-10-07,385.8,385,385,385,0.02K,-3.55%
2022-10-06,400,400,400,400,0.09K,0.95%
2022-10-05,396.25,396.25,396.25,396.25,0.01K,-1.92%
2022-10-04,404,404,404,404,0.01K,0.62%
2022-10-03,401.5,399,399,399,0.07K,-7.42%
2022-09-30,433.7,433.7,433.7,433.7,,-0.47%
2022-09-29,435.75,435.75,435.75,435.75,,-0.06%
2022-09-28,436,436,436,436,,-0.38%
2022-09-27,437.65,437.65,437.65,437.65,,-0.08%
2022-09-26,438,438,438,438,,0.64%
2022-09-23,435.2,435.2,435.2,435.2,,-0.10%
2022-09-22,435.65,435.65,435.65,435.65,0.00K,-1.99%
2022-09-21,444.5,440,440,440,0.02K,0.73%
2022-09-20,441.3,441.3,441.3,441.3,0.01K,0.51%
2022-09-19,439.05,439.05,439.05,439.05,,0.01%
2022-09-16,439,439,439,439,0.00K,-1.46%
2022-09-15,445.5,445.5,445.5,445.5,,0.29%
2022-09-14,444.2,444.2,444.2,444.2,0.00K,1.10%
2022-09-13,439.35,436.5,438,436.5,0.03K,0.42%
2022-09-12,437.5,437,437,436,0.04K,0.52%
2022-09-09,435.25,435.25,435.25,435.25,,-1.16%
2022-09-08,440.35,430,440,430,0.02K,0.31%
2022-09-07,439,439,439,439,0.02K,-2.50%
2022-09-06,450.25,450.25,450.25,450.25,0.00K,-1.65%
2022-09-05,457.8,457.8,457.8,457.8,0.01K,5.24%
2022-09-02,435,435,435,435,,1.79%
2022-09-01,427.35,427.35,427.35,427.35,,0.55%
2022-08-31,425,425,425,425,,2.52%
2022-08-30,414.55,414.55,414.55,414.55,0.01K,-1.94%
2022-08-29,422.75,422.75,422.75,422.75,,1.28%
2022-08-26,417.4,417.4,417.4,417.4,,-0.02%
2022-08-25,417.5,417.5,417.5,417.5,,1.19%
2022-08-24,412.6,412.6,412.6,412.6,,-1.20%
2022-08-23,417.6,417.6,417.6,417.6,,-0.18%
2022-08-22,418.35,418.35,418.35,418.35,,0.50%
2022-08-19,416.25,416.25,416.25,416.25,,0.57%
2022-08-18,413.9,413.9,413.9,413.9,,0.00%
2022-08-17,413.9,413.9,413.9,413.9,,2.20%
2022-08-16,405,405,405,405,,-0.61%
2022-08-15,407.5,407.5,407.5,407.5,,-0.04%
2022-08-12,407.65,407.65,407.65,407.65,,1.66%
