Date,Price,Open,High,Low,Vol.,Change %
2023-07-26,11.1,11.1,11.1,11.1,,-3.14%
2023-07-25,11.46,11.46,11.46,11.46,,1.78%
2023-07-24,11.26,11.26,11.26,11.26,,3.45%
2023-07-21,10.885,10.885,10.885,10.885,,-0.32%
2023-07-20,10.92,10.92,10.92,10.92,,1.63%
2023-07-19,10.745,10.745,10.745,10.745,,-2.50%
2023-07-18,11.02,11.02,11.02,11.02,,4.36%
2023-07-17,10.56,10.56,10.56,10.56,,-11.03%
2023-07-14,11.869,11.869,11.869,11.869,,-0.34%
2023-07-13,11.91,11.91,11.91,11.91,,-0.54%
2023-07-12,11.975,11.975,11.975,11.975,,-0.37%
2023-07-11,12.02,12.02,12.02,12.02,,-0.33%
2023-07-10,12.06,12.06,12.06,12.06,,-0.21%
2023-07-07,12.085,12.085,12.085,12.085,,0.08%
2023-07-06,12.075,12.075,12.075,12.075,,-0.21%
2023-07-05,12.1,12.1,12.1,12.1,,0.17%
2023-07-03,12.08,12.08,12.08,12.08,,-1.31%
2023-06-30,12.24,12.24,12.24,12.24,,0.99%
2023-06-29,12.12,12.12,12.12,12.12,,0.83%
2023-06-28,12.02,12.02,12.02,12.02,,-0.41%
2023-06-27,12.07,12.07,12.07,12.07,,2.37%
2023-06-26,11.79,11.79,11.79,11.79,,-0.38%
2023-06-23,11.835,11.835,11.835,11.835,,-1.91%
2023-06-22,12.065,12.065,12.065,12.065,,-3.29%
2023-06-21,12.475,12.475,12.475,12.475,,-2.08%
2023-06-20,12.74,12.74,12.74,12.74,,13.75%
2023-06-16,11.2,11.2,11.2,11.2,,16.86%
2023-06-15,9.584,9.584,9.584,9.584,,1.96%
2023-06-14,9.4,9.4,9.4,9.4,,1.08%
2023-06-13,9.3,9.3,9.3,9.3,,0.38%
2023-06-12,9.265,9.265,9.265,9.265,,0.16%
2023-06-09,9.25,9.25,9.25,9.25,,0.43%
2023-06-08,9.21,9.21,9.21,9.21,,-0.27%
2023-06-07,9.235,9.235,9.235,9.235,,0.27%
2023-06-06,9.21,9.21,9.21,9.21,,-0.59%
2023-06-05,9.265,9.265,9.265,9.265,,-0.22%
2023-06-02,9.285,9.285,9.285,9.285,,0.22%
2023-06-01,9.265,9.265,9.265,9.265,,-0.22%
2023-05-31,9.285,9.285,9.285,9.285,,-0.85%
2023-05-30,9.365,9.365,9.365,9.365,,1.41%
2023-05-26,9.235,9.235,9.235,9.235,,-1.23%
2023-05-25,9.35,9.35,9.35,9.35,,-2.40%
2023-05-24,9.58,9.58,9.58,9.58,,-1.59%
2023-05-23,9.735,9.735,9.735,9.735,,-0.21%
2023-05-22,9.755,9.755,9.755,9.755,,-0.86%
2023-05-19,9.84,9.84,9.84,9.84,,1.29%
2023-05-18,9.715,9.715,9.715,9.715,,-2.31%
2023-05-17,9.945,9.945,9.945,9.945,,0.91%
2023-05-16,9.855,9.855,9.855,9.855,,-10.81%
2023-05-15,11.049,11.049,11.049,11.049,,-0.59%
2023-05-12,11.115,11.115,11.115,11.115,,-0.40%
2023-05-11,11.16,11.16,11.16,11.16,,-0.45%
2023-05-10,11.21,11.21,11.21,11.21,,-0.27%
2023-05-09,11.24,11.24,11.24,11.24,,-0.66%
2023-05-08,11.315,11.315,11.315,11.315,,0.00%
2023-05-05,11.315,11.315,11.315,11.315,,0.04%
2023-05-04,11.31,11.31,11.31,11.31,,-1.65%
2023-05-03,11.5,11.5,11.5,11.5,,0.04%
2023-05-02,11.495,11.495,11.495,11.495,,-0.48%
2023-05-01,11.55,11.55,11.55,11.55,,0.00%
2023-04-28,11.55,11.55,11.55,11.55,,-0.39%
2023-04-27,11.595,11.595,11.595,11.595,,-0.39%
2023-04-26,11.64,11.64,11.64,11.64,,-1.73%
2023-04-25,11.845,11.845,11.845,11.845,,-0.25%
2023-04-24,11.875,11.875,11.875,11.875,,-0.04%
2023-04-21,11.88,11.88,11.88,11.88,,-2.90%
2023-04-20,12.235,12.235,12.235,12.235,,-0.08%
2023-04-19,12.245,12.245,12.245,12.245,,-4.71%
2023-04-18,12.85,12.85,12.85,12.85,,2.88%
2023-04-17,12.49,12.49,12.49,12.49,,-0.82%
2023-04-14,12.593,12.593,12.593,12.593,,-0.10%
2023-04-13,12.605,12.605,12.605,12.605,,-0.16%
2023-04-12,12.625,12.625,12.625,12.625,,0.44%
2023-04-11,12.57,12.57,12.57,12.57,,-0.44%
2023-04-10,12.625,12.625,12.625,12.625,,0.00%
2023-04-06,12.625,12.625,12.625,12.625,,-0.43%
2023-04-05,12.68,12.68,12.68,12.68,,-3.65%
2023-04-04,13.16,13.16,13.16,13.16,,3.22%
2023-04-03,12.75,12.75,12.75,12.75,,-5.66%
2023-03-31,13.515,13.515,13.515,13.515,,6.42%
2023-03-30,12.7,12.7,12.7,12.7,,1.32%
2023-03-29,12.535,12.535,12.535,12.535,,0.24%
2023-03-28,12.505,12.505,12.505,12.505,,-0.16%
2023-03-27,12.525,12.525,12.525,12.525,,-1.38%
2023-03-24,12.7,12.7,12.7,12.7,,-4.76%
2023-03-23,13.335,13.335,13.335,13.335,,5.50%
2023-03-22,12.64,12.64,12.64,12.64,,-7.37%
2023-03-21,13.645,13.645,13.645,13.645,,3.72%
2023-03-20,13.155,13.155,13.155,13.155,,-0.19%
2023-03-17,13.18,13.18,13.18,13.18,,-2.77%
2023-03-16,13.555,13.555,13.555,13.555,,-4.33%
2023-03-15,14.168,14.168,14.168,14.168,,-0.23%
2023-03-14,14.2,14.2,14.2,14.2,,-0.32%
2023-03-13,14.245,14.245,14.245,14.245,,0.64%
2023-03-10,14.155,14.155,14.155,14.155,,-1.08%
2023-03-09,14.31,14.31,14.31,14.31,,2.99%
2023-03-08,13.895,13.895,13.895,13.895,,-0.32%
2023-03-07,13.94,13.94,13.94,13.94,,-2.42%
