일자별 수요예측 리스트 (단위 : MW),,,,,,,,,,,,,,,,,,,,,,,,
구분,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h
20220101,"64,240","61,270","58,890","57,400","56,990","57,280","57,640","56,980","56,160","54,800","54,860","54,040","53,280","53,070","53,590","54,950","57,430","61,020","62,890","62,910","62,350","61,800","62,230","62,850"
20220102,"58,450","56,290","54,610","53,520","53,710","54,500","55,280","55,450","55,320","54,670","55,310","54,650","54,480","54,170","54,750","56,180","58,660","62,220","63,610","63,430","62,560","61,280","61,290","61,910"
20220103,"60,160","58,000","56,720","56,140","56,840","58,730","62,900","70,240","80,360","81,740","79,520","77,610","74,550","78,310","80,670","81,950","83,690","81,510","78,200","75,010","72,040","68,770","67,090","68,200"
20220104,"65,970","63,600","62,330","61,540","61,940","63,230","66,500","72,250","80,570","82,750","81,410","79,480","75,920","78,780","79,350","79,330","80,680","78,520","76,100","74,020","71,640","68,580","67,000","68,410"
20220105,"66,240","63,870","62,490","61,700","62,090","63,470","66,940","72,890","81,540","83,660","82,200","80,250","76,580","79,760","80,650","80,710","81,850","79,480","76,870","74,590","72,210","69,050","67,470","68,980"
20220106,"65,940","63,790","62,420","62,030","62,330","63,810","67,160","72,790","80,770","81,840","79,890","77,250","73,200","75,880","76,860","78,230","80,850","79,820","77,670","75,290","72,820","69,760","68,100","69,220"
20220107,"65,960","63,790","62,420","62,130","62,530","64,120","67,380","73,010","81,190","83,170","81,940","79,690","75,410","78,080","79,160","79,910","81,830","79,930","77,580","74,990","72,610","69,360","67,670","68,790"
20220108,"64,450","63,520","60,760","60,480","61,080","60,460","63,020","64,180","66,150","65,460","63,890","60,160","56,500","56,600","56,420","57,980","60,360","61,750","63,220","62,740","61,760","60,390","61,110","61,630"
20220109,"62,560","60,210","58,640","57,950","58,050","58,830","59,810","60,290","60,500","59,060","58,490","56,410","55,010","55,020","56,020","58,670","62,280","65,260","66,520","66,220","65,440","64,170","63,880","63,790"
20220110,"59,250","57,280","56,100","55,610","56,210","57,990","61,850","68,700","78,270","79,630","77,590","75,740","72,880","76,350","78,630","79,780","81,390","79,300","76,270","73,280","70,400","67,340","65,750","66,760"
20220111,"65,820","64,460","62,890","62,000","63,000","65,070","68,130","73,760","81,320","81,430","80,440","77,750","72,860","76,250","77,770","79,860","81,890","80,770","79,030","76,330","73,560","70,610","68,830","69,640"
20220112,"67,200","65,240","64,060","63,070","63,460","66,140","69,510","75,560","84,390","85,590","83,820","81,180","77,820","81,700","83,480","84,950","86,010","84,540","82,130","77,850","75,380","71,920","70,540","71,850"
20220113,"67,210","64,850","63,660","63,170","63,860","65,740","69,510","75,760","84,510","85,210","82,840","79,300","74,230","76,900","78,480","80,550","84,590","84,130","82,210","79,530","76,750","73,200","71,420","72,640"
20220114,"67,700","65,730","64,660","64,170","64,670","66,250","69,710","75,350","83,380","83,900","81,340","78,400","74,250","76,860","78,240","79,890","83,410","82,720","80,490","78,010","75,450","71,800","70,140","71,260"
20220115,"66,570","65,110","63,140","62,750","62,450","63,040","65,830","66,600","68,280","66,220","64,840","61,970","59,710","60,320","60,910","63,790","66,420","67,910","68,770","66,880","66,300","64,630","63,750","63,860"
20220116,"61,800","59,250","57,580","57,000","57,100","57,880","58,870","59,450","60,040","58,920","58,250","56,550","55,270","55,460","56,080","57,860","61,080","64,330","65,960","65,760","64,880","63,620","63,630","63,750"
20220117,"60,600","58,440","57,160","56,770","57,570","59,740","64,100","71,640","81,800","83,660","81,330","78,480","74,020","77,580","79,630","81,000","83,430","81,740","79,010","76,030","73,160","69,910","68,250","69,360"
20220118,"69,110","66,830","65,560","65,170","66,170","67,150","70,810","75,740","82,800","82,520","79,980","77,210","72,480","74,500","76,000","77,840","80,850","80,540","78,700","76,220","74,370","70,620","69,660","70,480"
20220119,"67,980","65,930","64,660","64,070","64,560","65,950","69,210","74,950","82,910","83,130","80,590","77,530","73,010","75,230","76,530","78,470","82,070","81,350","79,210","76,630","74,170","70,720","69,160","70,180"
20220120,"67,870","65,800","64,530","64,140","64,640","66,120","69,580","75,420","83,280","83,040","80,700","77,360","72,730","74,830","75,920","77,780","81,790","81,750","80,190","77,490","74,920","71,560","70,090","71,110"
20220121,"67,560","65,490","64,110","63,730","64,230","65,210","68,780","74,030","81,010","80,180","77,650","74,710","70,250","72,540","73,640","75,610","78,930","77,810","76,040","73,840","72,270","69,310","68,030","68,940"
20220122,"66,700","64,840","62,960","62,570","61,770","62,860","63,740","65,410","67,580","67,020","67,170","65,220","63,060","64,070","64,760","65,520","66,040","66,050","66,590","65,480","64,600","62,930","62,250","63,260"
20220123,"62,030","60,360","59,390","58,900","59,000","59,390","59,970","60,350","60,750","59,980","59,350","58,070","56,880","56,890","57,580","59,160","61,680","63,960","65,190","64,990","64,400","63,530","63,450","63,770"
20220124,"59,030","57,070","55,990","55,690","56,390","58,270","62,140","68,990","77,840","79,670","77,650","75,080","71,530","75,210","77,380","78,440","80,270","78,580","76,360","73,870","71,200","68,050","66,570","67,470"
20220125,"67,370","65,420","64,250","63,770","64,080","65,650","68,900","74,520","81,700","81,630","79,700","76,550","71,660","73,830","75,030","76,500","79,540","78,710","77,430","75,230","73,060","70,010","68,650","69,570"
20220126,"67,150","65,390","64,220","63,820","64,120","65,500","68,650","73,980","80,840","80,630","78,880","75,820","71,270","73,270","74,460","75,820","78,740","77,920","76,660","74,570","72,600","69,750","68,370","69,290"
20220127,"65,530","63,280","62,110","61,720","62,120","63,800","67,160","72,500","80,440","81,970","81,210","79,140","75,170","77,330","77,830","78,210","79,870","78,410","77,170","74,790","72,520","69,260","67,880","68,690"
20220128,"66,230","63,670","62,300","61,720","62,220","63,590","66,450","71,180","77,440","76,900","73,540","70,260","65,000","67,090","68,090","68,650","70,900","70,800","71,140","69,750","68,480","67,030","66,460","68,280"
20220129,"65,550","62,890","60,910","60,320","60,220","60,590","61,450","61,790","62,140","59,760","58,220","56,340","53,530","53,480","53,630","55,090","57,730","60,070","62,120","61,820","61,040","60,460","61,180","63,090"
20220130,"60,070","57,390","55,610","55,120","55,020","55,610","55,990","55,580","55,560","54,250","53,320","52,150","50,970","51,070","51,660","53,240","55,840","58,620","60,340","59,750","58,780","58,520","59,440","60,050"
20220131,"57,270","54,920","53,150","52,260","52,050","52,530","52,880","52,540","50,550","47,130","45,570","44,540","43,580","43,360","43,960","45,870","49,020","52,200","54,190","53,850","53,670","53,590","55,020","55,930"
20220201,"53,960","52,010","50,550","49,970","50,070","50,850","51,510","51,580","49,330","44,550","41,980","40,400","39,690","39,800","40,910","43,360","47,310","49,930","52,040","52,210","52,310","52,620","54,230","55,330"
20220202,"53,270","51,200","50,010","49,530","49,630","50,200","50,560","50,540","50,580","48,410","47,840","47,250","46,360","46,170","47,280","49,170","52,330","55,660","58,280","57,940","57,440","56,880","57,600","57,810"
20220203,"55,170","53,010","51,720","51,340","51,840","53,520","56,380","61,330","69,520","72,160","70,280","67,980","63,120","65,310","66,990","68,100","72,370","72,680","72,220","69,520","67,440","65,180","64,400","66,910"
